0th epoch,    train_loss: 1.6411021947860718, val_loss: 2.292180299758911, train_acc: 0.284593837535014, val_acc: 0.3408900083963056, train_top5: 0.5764705882352941, val_top5: 0.727120067170445
1th epoch,    train_loss: 1.0259305238723755, val_loss: 1.8775476217269897, train_acc: 0.6313725490196078, val_acc: 0.5188916876574308, train_top5: 0.9142857142857143, val_top5: 0.8681780016792612
2th epoch,    train_loss: 1.056157112121582, val_loss: 1.1077802181243896, train_acc: 0.7683473389355743, val_acc: 0.5978169605373636, train_top5: 0.9627450980392157, val_top5: 0.8900083963056256
3th epoch,    train_loss: 0.47052058577537537, val_loss: 2.164811849594116, train_acc: 0.8330532212885154, val_acc: 0.5020990764063812, train_top5: 0.9837535014005602, val_top5: 0.8278757346767422
4th epoch,    train_loss: 0.5072625875473022, val_loss: 1.4984854459762573, train_acc: 0.9156862745098039, val_acc: 0.6775818639798489, train_top5: 0.9952380952380953, val_top5: 0.9361880772460117
5th epoch,    train_loss: 0.20472458004951477, val_loss: 0.6981671452522278, train_acc: 0.9442577030812325, val_acc: 0.7968094038623006, train_top5: 0.9991596638655462, val_top5: 0.963056255247691
6th epoch,    train_loss: 0.08221763372421265, val_loss: 1.02788507938385, train_acc: 0.9621848739495799, val_acc: 0.8068849706129303, train_top5: 0.9994397759103641, val_top5: 0.9605373635600336
7th epoch,    train_loss: 0.12565550208091736, val_loss: 0.7868954539299011, train_acc: 0.9675070028011205, val_acc: 0.7900923593618808, train_top5: 1.0, val_top5: 0.9622166246851386
8th epoch,    train_loss: 0.02512836456298828, val_loss: 0.43931594491004944, train_acc: 0.9778711484593837, val_acc: 0.834592779177162, train_top5: 1.0, val_top5: 0.9697732997481109
9th epoch,    train_loss: 0.07009720057249069, val_loss: 0.38738295435905457, train_acc: 0.9770308123249299, val_acc: 0.8203190596137699, train_top5: 1.0, val_top5: 0.9680940386230059
10th epoch,    train_loss: 0.047594908624887466, val_loss: 0.29119184613227844, train_acc: 0.9801120448179271, val_acc: 0.8337531486146096, train_top5: 1.0, val_top5: 0.9722921914357683
11th epoch,    train_loss: 0.05017171427607536, val_loss: 0.6928184628486633, train_acc: 0.9831932773109243, val_acc: 0.8337531486146096, train_top5: 1.0, val_top5: 0.9714525608732157
12th epoch,    train_loss: 0.0759662464261055, val_loss: 0.6050598621368408, train_acc: 0.9826330532212885, val_acc: 0.837951301427372, train_top5: 1.0, val_top5: 0.9756507136859782
13th epoch,    train_loss: 0.07489761710166931, val_loss: 0.598488986492157, train_acc: 0.9784313725490196, val_acc: 0.8429890848026869, train_top5: 1.0, val_top5: 0.9756507136859782
14th epoch,    train_loss: 0.028920035809278488, val_loss: 0.427958607673645, train_acc: 0.9812324929971988, val_acc: 0.8413098236775819, train_top5: 1.0, val_top5: 0.9748110831234257
15th epoch,    train_loss: 0.047361064702272415, val_loss: 0.3808225095272064, train_acc: 0.9798319327731092, val_acc: 0.8387909319899244, train_top5: 1.0, val_top5: 0.9748110831234257
16th epoch,    train_loss: 0.043203048408031464, val_loss: 0.5145440101623535, train_acc: 0.9817927170868347, val_acc: 0.8446683459277917, train_top5: 1.0, val_top5: 0.9748110831234257
17th epoch,    train_loss: 0.06835178285837173, val_loss: 0.40860721468925476, train_acc: 0.9815126050420168, val_acc: 0.8429890848026869, train_top5: 1.0, val_top5: 0.9739714525608733
18th epoch,    train_loss: 0.014693180099129677, val_loss: 0.25666728615760803, train_acc: 0.980672268907563, val_acc: 0.8438287153652393, train_top5: 1.0, val_top5: 0.9748110831234257
19th epoch,    train_loss: 0.013216116465628147, val_loss: 0.4712146818637848, train_acc: 0.9840336134453781, val_acc: 0.8497061293031066, train_top5: 1.0, val_top5: 0.9722921914357683
20th epoch,    train_loss: 0.04099097102880478, val_loss: 0.2528476417064667, train_acc: 0.9815126050420168, val_acc: 0.8446683459277917, train_top5: 1.0, val_top5: 0.9739714525608733
21th epoch,    train_loss: 0.06535498052835464, val_loss: 0.42801931500434875, train_acc: 0.9840336134453781, val_acc: 0.8463476070528967, train_top5: 1.0, val_top5: 0.9739714525608733
22th epoch,    train_loss: 0.03302416205406189, val_loss: 0.28067198395729065, train_acc: 0.9831932773109243, val_acc: 0.8446683459277917, train_top5: 1.0, val_top5: 0.9739714525608733
23th epoch,    train_loss: 0.013152633793652058, val_loss: 0.3347887098789215, train_acc: 0.9798319327731092, val_acc: 0.8471872376154492, train_top5: 1.0, val_top5: 0.9748110831234257
24th epoch,    train_loss: 0.026568880304694176, val_loss: 0.6610788106918335, train_acc: 0.9820728291316526, val_acc: 0.8455079764903443, train_top5: 1.0, val_top5: 0.9764903442485307
25th epoch,    train_loss: 0.037214409559965134, val_loss: 0.7921203970909119, train_acc: 0.9801120448179271, val_acc: 0.8396305625524769, train_top5: 1.0, val_top5: 0.9748110831234257
26th epoch,    train_loss: 0.032736919820308685, val_loss: 0.3290221691131592, train_acc: 0.9798319327731092, val_acc: 0.8446683459277917, train_top5: 1.0, val_top5: 0.9739714525608733
27th epoch,    train_loss: 0.0599529892206192, val_loss: 0.495495468378067, train_acc: 0.9834733893557422, val_acc: 0.8404701931150294, train_top5: 1.0, val_top5: 0.9722921914357683
28th epoch,    train_loss: 0.0751531720161438, val_loss: 0.5038859844207764, train_acc: 0.9823529411764705, val_acc: 0.8455079764903443, train_top5: 1.0, val_top5: 0.9731318219983207
29th epoch,    train_loss: 0.03523075953125954, val_loss: 0.38102784752845764, train_acc: 0.984873949579832, val_acc: 0.8438287153652393, train_top5: 1.0, val_top5: 0.9756507136859782
