0th epoch,    train_loss: 2.8215415477752686, val_loss: 3.415107011795044, train_acc: 0.1550179211469534, val_acc: 0.16263440860215053, train_top5: 0.40725806451612906, val_top5: 0.4637096774193548
1th epoch,    train_loss: 2.3305418491363525, val_loss: 2.390285015106201, train_acc: 0.33602150537634407, val_acc: 0.20161290322580644, train_top5: 0.7338709677419355, val_top5: 0.6102150537634409
2th epoch,    train_loss: 1.5734106302261353, val_loss: 2.764035224914551, train_acc: 0.40412186379928317, val_acc: 0.2701612903225806, train_top5: 0.8351254480286738, val_top5: 0.6854838709677419
3th epoch,    train_loss: 1.465034008026123, val_loss: 2.181664228439331, train_acc: 0.48118279569892475, val_acc: 0.34543010752688175, train_top5: 0.8938172043010753, val_top5: 0.7473118279569892
4th epoch,    train_loss: 1.4112955331802368, val_loss: 1.8046294450759888, train_acc: 0.5026881720430108, val_acc: 0.28763440860215056, train_top5: 0.9202508960573477, val_top5: 0.7298387096774194
5th epoch,    train_loss: 1.235275387763977, val_loss: 1.9333075284957886, train_acc: 0.5981182795698925, val_acc: 0.3790322580645161, train_top5: 0.964605734767025, val_top5: 0.8467741935483871
6th epoch,    train_loss: 0.6687179207801819, val_loss: 0.8441812992095947, train_acc: 0.6482974910394266, val_acc: 0.4032258064516129, train_top5: 0.9834229390681004, val_top5: 0.8064516129032258
7th epoch,    train_loss: 0.8493511080741882, val_loss: 3.3513786792755127, train_acc: 0.6630824372759857, val_acc: 0.3736559139784946, train_top5: 0.9923835125448028, val_top5: 0.8454301075268817
8th epoch,    train_loss: 1.2487679719924927, val_loss: 2.9407832622528076, train_acc: 0.7020609318996416, val_acc: 0.3655913978494624, train_top5: 0.9968637992831542, val_top5: 0.8400537634408602
9th epoch,    train_loss: 0.5838688015937805, val_loss: 3.869428873062134, train_acc: 0.7311827956989247, val_acc: 0.39919354838709675, train_top5: 0.9986559139784946, val_top5: 0.8763440860215054
10th epoch,    train_loss: 0.7831810116767883, val_loss: 1.8368064165115356, train_acc: 0.7638888888888888, val_acc: 0.3709677419354839, train_top5: 0.9995519713261649, val_top5: 0.8911290322580645
