0th epoch,    train_loss: 2.5823330879211426, val_loss: 2.6038079261779785, train_acc: 0.1478494623655914, val_acc: 0.2647849462365591, train_top5: 0.4032258064516129, val_top5: 0.5967741935483871
1th epoch,    train_loss: 1.8284751176834106, val_loss: 2.203505516052246, train_acc: 0.3664874551971326, val_acc: 0.3333333333333333, train_top5: 0.7656810035842294, val_top5: 0.7244623655913979
2th epoch,    train_loss: 1.8333500623703003, val_loss: 2.8919386863708496, train_acc: 0.4753584229390681, val_acc: 0.28763440860215056, train_top5: 0.875, val_top5: 0.7002688172043011
3th epoch,    train_loss: 1.2147873640060425, val_loss: 2.3719019889831543, train_acc: 0.5613799283154122, val_acc: 0.31048387096774194, train_top5: 0.9408602150537635, val_top5: 0.7862903225806451
4th epoch,    train_loss: 0.9794191718101501, val_loss: 1.7706228494644165, train_acc: 0.6075268817204301, val_acc: 0.3978494623655914, train_top5: 0.9708781362007168, val_top5: 0.8306451612903226
5th epoch,    train_loss: 0.6758182644844055, val_loss: 1.9252172708511353, train_acc: 0.6532258064516129, val_acc: 0.46639784946236557, train_top5: 0.9825268817204301, val_top5: 0.853494623655914
6th epoch,    train_loss: 0.7162185311317444, val_loss: 1.9494110345840454, train_acc: 0.6657706093189965, val_acc: 0.43951612903225806, train_top5: 0.9901433691756273, val_top5: 0.8454301075268817
7th epoch,    train_loss: 0.68263179063797, val_loss: 2.2172954082489014, train_acc: 0.7226702508960573, val_acc: 0.41263440860215056, train_top5: 0.9977598566308243, val_top5: 0.8884408602150538
8th epoch,    train_loss: 0.7133079171180725, val_loss: 1.762751579284668, train_acc: 0.7432795698924731, val_acc: 0.44489247311827956, train_top5: 0.9986559139784946, val_top5: 0.8911290322580645
9th epoch,    train_loss: 0.556050181388855, val_loss: 2.2972700595855713, train_acc: 0.75, val_acc: 0.3924731182795699, train_top5: 1.0, val_top5: 0.896505376344086
10th epoch,    train_loss: 0.4724610447883606, val_loss: 1.446093201637268, train_acc: 0.7912186379928315, val_acc: 0.38844086021505375, train_top5: 1.0, val_top5: 0.9045698924731183
11th epoch,    train_loss: 0.3782344460487366, val_loss: 1.7964317798614502, train_acc: 0.7903225806451613, val_acc: 0.4032258064516129, train_top5: 0.9995519713261649, val_top5: 0.9005376344086021
12th epoch,    train_loss: 0.4625355303287506, val_loss: 1.6374282836914062, train_acc: 0.7925627240143369, val_acc: 0.3924731182795699, train_top5: 1.0, val_top5: 0.907258064516129
13th epoch,    train_loss: 0.40244290232658386, val_loss: 1.693397879600525, train_acc: 0.8051075268817204, val_acc: 0.39381720430107525, train_top5: 1.0, val_top5: 0.9018817204301075
14th epoch,    train_loss: 0.3112502098083496, val_loss: 2.445587635040283, train_acc: 0.8006272401433692, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9005376344086021
15th epoch,    train_loss: 0.3476782441139221, val_loss: 2.2061760425567627, train_acc: 0.8042114695340502, val_acc: 0.3682795698924731, train_top5: 1.0, val_top5: 0.9059139784946236
16th epoch,    train_loss: 0.47483840584754944, val_loss: 1.964807152748108, train_acc: 0.8131720430107527, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9099462365591398
17th epoch,    train_loss: 0.3503905236721039, val_loss: 1.612044095993042, train_acc: 0.7974910394265233, val_acc: 0.36693548387096775, train_top5: 1.0, val_top5: 0.9045698924731183
18th epoch,    train_loss: 0.4519292414188385, val_loss: 2.009544610977173, train_acc: 0.8109318996415771, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9086021505376344
19th epoch,    train_loss: 0.3643641769886017, val_loss: 2.129162311553955, train_acc: 0.8118279569892473, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9086021505376344
20th epoch,    train_loss: 0.41624850034713745, val_loss: 2.1932685375213623, train_acc: 0.8158602150537635, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9086021505376344
21th epoch,    train_loss: 0.2318143993616104, val_loss: 2.3934712409973145, train_acc: 0.8189964157706093, val_acc: 0.37231182795698925, train_top5: 1.0, val_top5: 0.9059139784946236
22th epoch,    train_loss: 0.33184465765953064, val_loss: 1.9369856119155884, train_acc: 0.8055555555555556, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9032258064516129
23th epoch,    train_loss: 0.4125211536884308, val_loss: 2.6114892959594727, train_acc: 0.8131720430107527, val_acc: 0.375, train_top5: 1.0, val_top5: 0.907258064516129
24th epoch,    train_loss: 0.3007638454437256, val_loss: 1.8373289108276367, train_acc: 0.8248207885304659, val_acc: 0.3844086021505376, train_top5: 1.0, val_top5: 0.9112903225806451
25th epoch,    train_loss: 0.3636719882488251, val_loss: 1.5970789194107056, train_acc: 0.8167562724014337, val_acc: 0.3709677419354839, train_top5: 1.0, val_top5: 0.9112903225806451
26th epoch,    train_loss: 0.377347469329834, val_loss: 2.552173376083374, train_acc: 0.8261648745519713, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9059139784946236
27th epoch,    train_loss: 0.3002537190914154, val_loss: 2.7943360805511475, train_acc: 0.821236559139785, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.9059139784946236
28th epoch,    train_loss: 0.19468927383422852, val_loss: 1.779561996459961, train_acc: 0.806899641577061, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.907258064516129
29th epoch,    train_loss: 0.2141019105911255, val_loss: 1.9641786813735962, train_acc: 0.8185483870967742, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9099462365591398
30th epoch,    train_loss: 0.26754114031791687, val_loss: 2.0199549198150635, train_acc: 0.8225806451612904, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9112903225806451
31th epoch,    train_loss: 0.42734894156455994, val_loss: 1.830278992652893, train_acc: 0.8261648745519713, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
32th epoch,    train_loss: 0.3805832862854004, val_loss: 2.1640758514404297, train_acc: 0.8306451612903226, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9086021505376344
33th epoch,    train_loss: 0.34649673104286194, val_loss: 1.591362476348877, train_acc: 0.8257168458781362, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.907258064516129
34th epoch,    train_loss: 0.34932154417037964, val_loss: 2.1064445972442627, train_acc: 0.8239247311827957, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
35th epoch,    train_loss: 0.4424537718296051, val_loss: 1.681420922279358, train_acc: 0.8279569892473119, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.9126344086021505
36th epoch,    train_loss: 0.38772398233413696, val_loss: 2.226749897003174, train_acc: 0.8261648745519713, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9099462365591398
37th epoch,    train_loss: 0.3331492841243744, val_loss: 2.4479026794433594, train_acc: 0.8225806451612904, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9059139784946236
38th epoch,    train_loss: 0.34427356719970703, val_loss: 1.9424835443496704, train_acc: 0.8203405017921147, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9153225806451613
39th epoch,    train_loss: 0.28044459223747253, val_loss: 2.0890843868255615, train_acc: 0.842741935483871, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
40th epoch,    train_loss: 0.26751086115837097, val_loss: 1.8576819896697998, train_acc: 0.8301971326164874, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9126344086021505
41th epoch,    train_loss: 0.32603055238723755, val_loss: 2.2112908363342285, train_acc: 0.8279569892473119, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9112903225806451
42th epoch,    train_loss: 0.46717143058776855, val_loss: 1.5564672946929932, train_acc: 0.8275089605734767, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9126344086021505
43th epoch,    train_loss: 0.31668540835380554, val_loss: 2.2335429191589355, train_acc: 0.8333333333333334, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
44th epoch,    train_loss: 0.36478671431541443, val_loss: 1.9435609579086304, train_acc: 0.8364695340501792, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9086021505376344
45th epoch,    train_loss: 0.36700913310050964, val_loss: 2.0236034393310547, train_acc: 0.8301971326164874, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9086021505376344
46th epoch,    train_loss: 0.37648746371269226, val_loss: 2.570059299468994, train_acc: 0.8324372759856631, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
47th epoch,    train_loss: 0.36308762431144714, val_loss: 1.5688011646270752, train_acc: 0.8387096774193549, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.9126344086021505
48th epoch,    train_loss: 0.29882100224494934, val_loss: 2.0713114738464355, train_acc: 0.8378136200716846, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.9099462365591398
49th epoch,    train_loss: 0.35049107670783997, val_loss: 2.2452197074890137, train_acc: 0.8266129032258065, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9112903225806451
50th epoch,    train_loss: 0.2757403552532196, val_loss: 1.9912656545639038, train_acc: 0.8306451612903226, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9139784946236559
51th epoch,    train_loss: 0.32429438829421997, val_loss: 2.1575279235839844, train_acc: 0.8270609318996416, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.9086021505376344
52th epoch,    train_loss: 0.32007333636283875, val_loss: 2.1530399322509766, train_acc: 0.8373655913978495, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9086021505376344
53th epoch,    train_loss: 0.2978889048099518, val_loss: 1.9641367197036743, train_acc: 0.8355734767025089, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9086021505376344
54th epoch,    train_loss: 0.33460211753845215, val_loss: 1.7407258749008179, train_acc: 0.8346774193548387, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9086021505376344
55th epoch,    train_loss: 0.3589029014110565, val_loss: 1.6959012746810913, train_acc: 0.8230286738351255, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9099462365591398
56th epoch,    train_loss: 0.34575775265693665, val_loss: 2.1277880668640137, train_acc: 0.8355734767025089, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9059139784946236
57th epoch,    train_loss: 0.31039315462112427, val_loss: 1.7159230709075928, train_acc: 0.8413978494623656, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9099462365591398
58th epoch,    train_loss: 0.2617851197719574, val_loss: 2.1581668853759766, train_acc: 0.8293010752688172, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9059139784946236
59th epoch,    train_loss: 0.28118664026260376, val_loss: 2.211209774017334, train_acc: 0.8458781362007168, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9086021505376344
60th epoch,    train_loss: 0.3683699667453766, val_loss: 1.7926251888275146, train_acc: 0.8436379928315412, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9086021505376344
61th epoch,    train_loss: 0.23179538547992706, val_loss: 1.8687702417373657, train_acc: 0.8328853046594982, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9139784946236559
62th epoch,    train_loss: 0.37513870000839233, val_loss: 2.1388790607452393, train_acc: 0.8400537634408602, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9099462365591398
63th epoch,    train_loss: 0.3807925283908844, val_loss: 2.157783031463623, train_acc: 0.8373655913978495, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
64th epoch,    train_loss: 0.32763671875, val_loss: 2.487384796142578, train_acc: 0.817652329749104, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9086021505376344
65th epoch,    train_loss: 0.38073498010635376, val_loss: 2.4487948417663574, train_acc: 0.831989247311828, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9086021505376344
66th epoch,    train_loss: 0.3071339428424835, val_loss: 2.0247573852539062, train_acc: 0.8405017921146953, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9099462365591398
67th epoch,    train_loss: 0.3406188488006592, val_loss: 1.6174596548080444, train_acc: 0.8342293906810035, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9059139784946236
68th epoch,    train_loss: 0.21427683532238007, val_loss: 1.6141973733901978, train_acc: 0.8306451612903226, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.907258064516129
69th epoch,    train_loss: 0.3229789137840271, val_loss: 2.0418541431427, train_acc: 0.8440860215053764, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9099462365591398
70th epoch,    train_loss: 0.26801154017448425, val_loss: 2.3634274005889893, train_acc: 0.8346774193548387, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.9153225806451613
71th epoch,    train_loss: 0.32336172461509705, val_loss: 2.019680976867676, train_acc: 0.8234767025089605, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9099462365591398
72th epoch,    train_loss: 0.31249767541885376, val_loss: 2.147911310195923, train_acc: 0.8351254480286738, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
73th epoch,    train_loss: 0.2843587100505829, val_loss: 2.3200576305389404, train_acc: 0.8373655913978495, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9045698924731183
74th epoch,    train_loss: 0.37273189425468445, val_loss: 2.253650188446045, train_acc: 0.8270609318996416, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9099462365591398
75th epoch,    train_loss: 0.3679402470588684, val_loss: 1.705492377281189, train_acc: 0.8306451612903226, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9139784946236559
76th epoch,    train_loss: 0.263522744178772, val_loss: 2.4127860069274902, train_acc: 0.8373655913978495, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9112903225806451
77th epoch,    train_loss: 0.19027140736579895, val_loss: 2.1999192237854004, train_acc: 0.8279569892473119, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.907258064516129
78th epoch,    train_loss: 0.2573702931404114, val_loss: 2.089679479598999, train_acc: 0.8243727598566308, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9086021505376344
79th epoch,    train_loss: 0.28491637110710144, val_loss: 1.73125422000885, train_acc: 0.8422939068100358, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9112903225806451
80th epoch,    train_loss: 0.23134282231330872, val_loss: 2.3095412254333496, train_acc: 0.8333333333333334, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.9099462365591398
81th epoch,    train_loss: 0.24046321213245392, val_loss: 1.929700255393982, train_acc: 0.8266129032258065, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
82th epoch,    train_loss: 0.29826387763023376, val_loss: 2.6325340270996094, train_acc: 0.8315412186379928, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9112903225806451
83th epoch,    train_loss: 0.3532794415950775, val_loss: 2.521416187286377, train_acc: 0.8337813620071685, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.907258064516129
84th epoch,    train_loss: 0.27207237482070923, val_loss: 2.1202943325042725, train_acc: 0.8378136200716846, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9112903225806451
85th epoch,    train_loss: 0.2573970854282379, val_loss: 1.725327730178833, train_acc: 0.8306451612903226, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.9099462365591398
86th epoch,    train_loss: 0.3057723045349121, val_loss: 1.9700790643692017, train_acc: 0.8378136200716846, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
87th epoch,    train_loss: 0.26504990458488464, val_loss: 1.9088551998138428, train_acc: 0.8239247311827957, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9086021505376344
88th epoch,    train_loss: 0.24408364295959473, val_loss: 2.463681936264038, train_acc: 0.839605734767025, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9099462365591398
89th epoch,    train_loss: 0.2604447603225708, val_loss: 2.022083044052124, train_acc: 0.8422939068100358, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.9099462365591398
90th epoch,    train_loss: 0.3301033079624176, val_loss: 1.6456124782562256, train_acc: 0.8405017921146953, val_acc: 0.3736559139784946, train_top5: 1.0, val_top5: 0.9112903225806451
91th epoch,    train_loss: 0.34318065643310547, val_loss: 2.1814770698547363, train_acc: 0.828405017921147, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
92th epoch,    train_loss: 0.30470308661460876, val_loss: 2.0580286979675293, train_acc: 0.8418458781362007, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9086021505376344
93th epoch,    train_loss: 0.2954690754413605, val_loss: 1.9711936712265015, train_acc: 0.8293010752688172, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9086021505376344
94th epoch,    train_loss: 0.31644827127456665, val_loss: 2.196326494216919, train_acc: 0.8261648745519713, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9086021505376344
95th epoch,    train_loss: 0.24933990836143494, val_loss: 1.89153254032135, train_acc: 0.8476702508960573, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9099462365591398
96th epoch,    train_loss: 0.31329330801963806, val_loss: 1.7662646770477295, train_acc: 0.8364695340501792, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9099462365591398
97th epoch,    train_loss: 0.30190131068229675, val_loss: 2.9208199977874756, train_acc: 0.8409498207885304, val_acc: 0.3763440860215054, train_top5: 1.0, val_top5: 0.9059139784946236
98th epoch,    train_loss: 0.28445935249328613, val_loss: 1.683772087097168, train_acc: 0.8328853046594982, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9086021505376344
99th epoch,    train_loss: 0.2232113629579544, val_loss: 2.8701226711273193, train_acc: 0.8521505376344086, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9112903225806451
100th epoch,    train_loss: 0.24684154987335205, val_loss: 2.374326705932617, train_acc: 0.8463261648745519, val_acc: 0.375, train_top5: 1.0, val_top5: 0.9126344086021505
101th epoch,    train_loss: 0.353104829788208, val_loss: 1.8897531032562256, train_acc: 0.83915770609319, val_acc: 0.37768817204301075, train_top5: 1.0, val_top5: 0.9126344086021505
102th epoch,    train_loss: 0.20831899344921112, val_loss: 1.7730668783187866, train_acc: 0.8409498207885304, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.907258064516129
103th epoch,    train_loss: 0.2963147759437561, val_loss: 1.8123366832733154, train_acc: 0.8360215053763441, val_acc: 0.3790322580645161, train_top5: 1.0, val_top5: 0.9112903225806451
