0th epoch,    train_loss: 2.3755531311035156, val_loss: 4.6475605964660645, train_acc: 0.2605042016806723, val_acc: 0.18303946263643997, train_top5: 0.573109243697479, val_top5: 0.5407220822837951
1th epoch,    train_loss: 1.4915238618850708, val_loss: 3.390052318572998, train_acc: 0.5372549019607843, val_acc: 0.38371116708648195, train_top5: 0.8652661064425771, val_top5: 0.7405541561712846
2th epoch,    train_loss: 1.168325424194336, val_loss: 1.8829370737075806, train_acc: 0.6610644257703081, val_acc: 0.4945424013434089, train_top5: 0.9296918767507003, val_top5: 0.8471872376154492
3th epoch,    train_loss: 1.1645641326904297, val_loss: 1.1974905729293823, train_acc: 0.7369747899159664, val_acc: 0.5256087321578505, train_top5: 0.9560224089635855, val_top5: 0.8261964735516373
4th epoch,    train_loss: 0.4847671687602997, val_loss: 2.548471450805664, train_acc: 0.7955182072829131, val_acc: 0.5835432409739715, train_top5: 0.9742296918767507, val_top5: 0.8790931989924433
5th epoch,    train_loss: 0.44538620114326477, val_loss: 0.6765230298042297, train_acc: 0.8322128851540617, val_acc: 0.6498740554156172, train_top5: 0.9823529411764705, val_top5: 0.910159529806885
6th epoch,    train_loss: 0.32601597905158997, val_loss: 1.7533022165298462, train_acc: 0.8523809523809524, val_acc: 0.5684298908480269, train_top5: 0.988515406162465, val_top5: 0.8270361041141897
7th epoch,    train_loss: 0.22863228619098663, val_loss: 1.5160446166992188, train_acc: 0.9327731092436975, val_acc: 0.7262804366078925, train_top5: 0.9971988795518207, val_top5: 0.9328295549958019
8th epoch,    train_loss: 0.2166912853717804, val_loss: 1.2935371398925781, train_acc: 0.9484593837535014, val_acc: 0.7036104114189756, train_top5: 0.9994397759103641, val_top5: 0.9210747271200672
9th epoch,    train_loss: 0.05863256752490997, val_loss: 0.11334355920553207, train_acc: 0.9627450980392157, val_acc: 0.8085642317380353, train_top5: 1.0, val_top5: 0.9714525608732157
10th epoch,    train_loss: 0.04241899028420448, val_loss: 0.07150281965732574, train_acc: 0.9722689075630252, val_acc: 0.8178001679261125, train_top5: 1.0, val_top5: 0.9722921914357683
11th epoch,    train_loss: 0.08153137564659119, val_loss: 0.4956114590167999, train_acc: 0.9764705882352941, val_acc: 0.8136020151133502, train_top5: 0.9997198879551821, val_top5: 0.963056255247691
12th epoch,    train_loss: 0.008608322590589523, val_loss: 0.20585428178310394, train_acc: 0.9787114845938375, val_acc: 0.832913518052057, train_top5: 1.0, val_top5: 0.9731318219983207
13th epoch,    train_loss: 0.027323009446263313, val_loss: 0.8552089929580688, train_acc: 0.9792717086834734, val_acc: 0.837951301427372, train_top5: 1.0, val_top5: 0.9706129303106633
