0th epoch,    train_loss: 4.371883869171143, val_loss: 4.544065952301025, train_acc: 0.03181003584229391, val_acc: 0.04838709677419355, train_top5: 0.13216845878136202, val_top5: 0.14919354838709678
1th epoch,    train_loss: 4.1539835929870605, val_loss: 4.2999467849731445, train_acc: 0.047491039426523295, val_acc: 0.04973118279569892, train_top5: 0.19802867383512546, val_top5: 0.22043010752688172
2th epoch,    train_loss: 3.788869619369507, val_loss: 4.061976909637451, train_acc: 0.06451612903225806, val_acc: 0.07661290322580645, train_top5: 0.22580645161290322, val_top5: 0.2325268817204301
3th epoch,    train_loss: 3.8363735675811768, val_loss: 4.888660907745361, train_acc: 0.0667562724014337, val_acc: 0.05913978494623656, train_top5: 0.2728494623655914, val_top5: 0.26344086021505375
4th epoch,    train_loss: 3.7201664447784424, val_loss: 4.046328067779541, train_acc: 0.09274193548387097, val_acc: 0.10483870967741936, train_top5: 0.3216845878136201, val_top5: 0.33736559139784944
5th epoch,    train_loss: 3.38309383392334, val_loss: 3.6974918842315674, train_acc: 0.0985663082437276, val_acc: 0.0913978494623656, train_top5: 0.34543010752688175, val_top5: 0.3077956989247312
6th epoch,    train_loss: 3.594184160232544, val_loss: 2.969770669937134, train_acc: 0.125, val_acc: 0.11021505376344086, train_top5: 0.382168458781362, val_top5: 0.36155913978494625
7th epoch,    train_loss: 3.30389142036438, val_loss: 3.8512134552001953, train_acc: 0.12768817204301075, val_acc: 0.12634408602150538, train_top5: 0.4014336917562724, val_top5: 0.34139784946236557
8th epoch,    train_loss: 3.161417007446289, val_loss: 4.470278263092041, train_acc: 0.13664874551971326, val_acc: 0.11424731182795698, train_top5: 0.41845878136200715, val_top5: 0.4018817204301075
9th epoch,    train_loss: 3.326486349105835, val_loss: 3.2225399017333984, train_acc: 0.16442652329749105, val_acc: 0.12365591397849462, train_top5: 0.46908602150537637, val_top5: 0.37768817204301075
10th epoch,    train_loss: 3.3901805877685547, val_loss: 3.006316661834717, train_acc: 0.1693548387096774, val_acc: 0.13709677419354838, train_top5: 0.48028673835125446, val_top5: 0.396505376344086
11th epoch,    train_loss: 3.0846097469329834, val_loss: 4.200037956237793, train_acc: 0.17338709677419356, val_acc: 0.13172043010752688, train_top5: 0.4968637992831541, val_top5: 0.4368279569892473
12th epoch,    train_loss: 3.680159330368042, val_loss: 3.37438702583313, train_acc: 0.2078853046594982, val_acc: 0.11424731182795698, train_top5: 0.5309139784946236, val_top5: 0.3844086021505376
13th epoch,    train_loss: 2.888376235961914, val_loss: 4.785462379455566, train_acc: 0.22625448028673836, val_acc: 0.16801075268817203, train_top5: 0.5707885304659498, val_top5: 0.4422043010752688
14th epoch,    train_loss: 2.7159721851348877, val_loss: 2.211681604385376, train_acc: 0.2307347670250896, val_acc: 0.17069892473118278, train_top5: 0.6030465949820788, val_top5: 0.47446236559139787
15th epoch,    train_loss: 3.03479266166687, val_loss: 4.116661548614502, train_acc: 0.2567204301075269, val_acc: 0.16129032258064516, train_top5: 0.6187275985663082, val_top5: 0.46102150537634407
16th epoch,    train_loss: 2.4184160232543945, val_loss: 4.167789459228516, train_acc: 0.28270609318996415, val_acc: 0.16263440860215053, train_top5: 0.6487455197132617, val_top5: 0.4932795698924731
17th epoch,    train_loss: 2.6879146099090576, val_loss: 4.160027980804443, train_acc: 0.2956989247311828, val_acc: 0.17069892473118278, train_top5: 0.6783154121863799, val_top5: 0.4731182795698925
18th epoch,    train_loss: 2.6570181846618652, val_loss: 3.8505730628967285, train_acc: 0.3095878136200717, val_acc: 0.2056451612903226, train_top5: 0.6957885304659498, val_top5: 0.47580645161290325
19th epoch,    train_loss: 2.816322088241577, val_loss: 3.504884719848633, train_acc: 0.3234767025089606, val_acc: 0.16801075268817203, train_top5: 0.7132616487455197, val_top5: 0.4825268817204301
20th epoch,    train_loss: 2.3240315914154053, val_loss: 2.5797500610351562, train_acc: 0.35663082437275984, val_acc: 0.1881720430107527, train_top5: 0.7482078853046595, val_top5: 0.5241935483870968
21th epoch,    train_loss: 2.582338809967041, val_loss: 5.248207092285156, train_acc: 0.357078853046595, val_acc: 0.15456989247311828, train_top5: 0.7688172043010753, val_top5: 0.4825268817204301
22th epoch,    train_loss: 2.085024833679199, val_loss: 3.4199466705322266, train_acc: 0.4112903225806452, val_acc: 0.16801075268817203, train_top5: 0.7992831541218638, val_top5: 0.5
23th epoch,    train_loss: 1.6819286346435547, val_loss: 3.2109944820404053, train_acc: 0.42473118279569894, val_acc: 0.19489247311827956, train_top5: 0.8113799283154122, val_top5: 0.553763440860215
24th epoch,    train_loss: 2.222198009490967, val_loss: 1.7480669021606445, train_acc: 0.4659498207885305, val_acc: 0.18548387096774194, train_top5: 0.8436379928315412, val_top5: 0.5134408602150538
25th epoch,    train_loss: 2.05351185798645, val_loss: 2.6465280055999756, train_acc: 0.49507168458781364, val_acc: 0.1881720430107527, train_top5: 0.8736559139784946, val_top5: 0.553763440860215
26th epoch,    train_loss: 1.5162816047668457, val_loss: 3.112114906311035, train_acc: 0.5049283154121864, val_acc: 0.19623655913978494, train_top5: 0.8758960573476703, val_top5: 0.5403225806451613
